study_id;median_N;se_N;N;total_SNP;mean_beta;result_lin_reg;delta_prop;over_threshold;beta_PZ;se_beta_PZ;intercept_PZ;se_intercept_PZ
NEALE2_20003_1140910698;0.999998782599507;0.08070072935332406;361141.0;7355448;-0.00017373572094252237;Row(beta=0.999978244304657, beta_stderr=1.8335065687935526e-09, intercept=-1.828350946198043e-07, intercept_stderr=1.1292929924522355e-09);0.00785144320348709;56891;0.999978244304657;1.8335065687935526e-09;-1.828350946198043e-07;1.1292929924522355e-09
NEALE2_20003_1140910766;0.9999964058272055;0.08609523268945105;361141.0;11039921;0.0005848206665388785;Row(beta=0.9999785423278809, beta_stderr=1.7442666200295776e-09, intercept=-2.993508019244473e-07, intercept_stderr=1.0978343789602718e-09);0.005548440205381964;60325;0.9999785423278809;1.7442666200295776e-09;-2.993508019244473e-07;1.0978343789602718e-09
NEALE2_20003_1140911638;0.9999998269255647;0.08104903024840648;361141.0;8114692;-0.0001198540705309386;Row(beta=0.999978244304657, beta_stderr=1.8377516175505093e-09, intercept=-1.809866319035791e-07, intercept_stderr=1.1364009733227931e-09);0.007277068872844073;58189;0.999978244304657;1.8377516175505093e-09;-1.809866319035791e-07;1.1364009733227931e-09
NEALE2_20003_1140911642;0.9999988021055136;0.08094292153456234;361141.0;7941094;-0.0005192720617485723;Row(beta=0.9999781250953674, beta_stderr=1.8179925342920455e-09, intercept=-1.2859672438025882e-07, intercept_stderr=1.1230699703546065e-09);0.00740839764948529;57967;0.9999781250953674;1.8179925342920455e-09;-1.2859672438025882e-07;1.1230699703546065e-09
NEALE2_20003_1140911658;0.999997988842192;0.08332516776307874;361141.0;9903175;-0.0002579164903313884;Row(beta=0.999978244304657, beta_stderr=1.7454637735170309e-09, intercept=-1.849672770504185e-07, intercept_stderr=1.0826536334107573e-09);0.006128769075727185;59848;0.999978244304657;1.7454637735170309e-09;-1.849672770504185e-07;1.0826536334107573e-09
NEALE2_20003_1140911698;0.9999980012021163;0.08068552251866191;361141.0;7573203;-0.0006475659115677074;Row(beta=0.9999781847000122, beta_stderr=1.8300175819163655e-09, intercept=-1.5475569625778007e-07, intercept_stderr=1.1291878543318035e-09);0.007682590528781233;57320;0.9999781847000122;1.8300175819163655e-09;-1.5475569625778007e-07;1.1291878543318035e-09
NEALE2_20003_1140911730;0.9999998716366066;0.0833837681849737;361141.0;9925127;-0.0007533308018660232;Row(beta=0.9999783039093018, beta_stderr=1.7655586992404437e-09, intercept=-2.0390265831338183e-07, intercept_stderr=1.096323365423757e-09);0.006116342627584226;59859;0.9999783039093018;1.7655586992404437e-09;-2.0390265831338183e-07;1.096323365423757e-09
NEALE2_20003_1140911732;0.9999915945625614;0.09286626798744751;361141.0;13518511;0.00012499173573898641;Row(beta=0.999978244304657, beta_stderr=1.2751832922930362e-09, intercept=-1.7796082829590887e-07, intercept_stderr=7.895596954021755e-10);0.004656762040429464;60987;0.999978244304657;1.2751832922930362e-09;-1.7796082829590887e-07;7.895596954021755e-10
NEALE2_20003_1140911736;1.0000009339653966;0.08298143934994955;361141.0;9759555;0.00014267305510983668;Row(beta=0.9999783039093018, beta_stderr=1.7487498116253164e-09, intercept=-2.0539278011710849e-07, intercept_stderr=1.076111755260456e-09);0.0062105560020341965;59767;0.9999783039093018;1.7487498116253164e-09;-2.0539278011710849e-07;1.076111755260456e-09
NEALE2_20003_1140913292;1.000000215736051;0.08062316258206018;361141.0;6939291;-0.0010258465386115525;Row(beta=0.9999783039093018, beta_stderr=1.787977321754397e-09, intercept=-1.9912272364308592e-07, intercept_stderr=1.1102613273195061e-09);0.008185416329253061;55948;0.9999783039093018;1.787977321754397e-09;-1.9912272364308592e-07;1.1102613273195061e-09
NEALE2_20003_1140916282;0.9999969469195793;0.08752324940434363;361141.0;11535255;6.59144254508804e-06;Row(beta=0.9999781847000122, beta_stderr=1.4756131871962452e-09, intercept=-1.7177211475427612e-07, intercept_stderr=9.16914044690742e-10);0.0053335416481694676;60492;0.9999781847000122;1.4756131871962452e-09;-1.7177211475427612e-07;9.16914044690742e-10
NEALE2_20003_1140916356;0.9999936375522046;0.09136715695575848;361141.0;12864331;-0.0004089721625235495;Row(beta=0.9999783039093018, beta_stderr=1.3466106008053202e-09, intercept=-2.2153096779220505e-07, intercept_stderr=8.47009573590185e-10);0.0048491956250159346;60864;0.9999783039093018;1.3466106008053202e-09;-2.2153096779220505e-07;8.47009573590185e-10
NEALE2_20003_1140916980;0.9999986804527478;0.08105109650867523;361141.0;8122906;-0.0009748346491922813;Row(beta=0.9999783039093018, beta_stderr=1.8542991586656399e-09, intercept=-1.9904602766018797e-07, intercept_stderr=1.145442518613038e-09);0.007270803771253153;58198;0.9999783039093018;1.8542991586656399e-09;-1.9904602766018797e-07;1.145442518613038e-09
